id,model,charge_percent
1,Thunderbolt DX,25.6
2,Thunderbolt DX,15.3
3,Thunderbolt DX,89.2
4,Thunderbolt DX+,14
5,Thunderbolt DX+,58.4
6,Speedster IV,52
7,Speedster IV,27.3
8,Speedster V,76
9,Speedster VI,42.2
10,Speedster VII,61
11,Nimbus Sparkle,92.5
12,Nimbus Sparkle,88
13,Nimbus Sparkle+,74.2
14,Nimbus Rocket,70
15,Nimbus Rocket,53.7
16,Starlight V70,7.5
17,Starlight V70,82.5
18,Starlight V75,50.8
19,Starlight V75,28
20,Starlight V80,36.7
21,Shadow Scream,9.2
22,Shadow Scream,12.5
23,Shadow Scream,45
24,Shadow Scream,48.9
25,Shadow Scream,34.6
26,Trail Blazer A,33.3
27,Trail Blazer A,47.2
28,Trail Blazer XY,75.4
29,Trail Blazer Z,35.2
30,Trail Blazer Z+,84.6
